LangID	Name
aaa	Ghotuo
aab	Alumu-Tesu
aac	Ari
aad	Amal
aae	Albanian, Arbëreshë
aae	Arbëresh
aae	Arbëreshë Albanian
aaf	Aranadan
aag	Ambrak
aah	Abu' Arapesh
aah	Arapesh, Abu'
aah	Arapesh, Abu’
aai	Arifama-Miniafia
aai	Miniafia Oyan
aak	Ankave
aal	Afade
aan	Anambé
aao	Algerian Saharan Arabic
aao	Arabic, Algerian Saharan
aao	Arabic, Algerian Saharan Spoken
aap	Arára, Pará
aap	Pará Arára
aaq	Abenaki, Eastern
aaq	Abnaki, Eastern
aaq	Eastern Abenaki
aaq	Eastern Abnaki
aar	Afar
aas	Aasáx
aat	Albanian, Arvanitika
aat	Arvanitic
aat	Arvanitika Albanian
aau	Abau
aaw	Solong
aax	Mandobo Atas
aaz	Amarasi
aba	Abé
abb	Bankon
abc	Ambala Ayta
abc	Ayta, Ambala
abd	Manide
abe	Abenaki, Western
abe	Abnaki, Western
abe	Western Abenaki
abe	Western Abnaki
abf	Abai Sungai
abg	Abaga
abh	Arabic, Tajiki
abh	Arabic, Tajiki Spoken
abh	Tajiki Arabic
abi	Abidji
abj	Aka-Bea
abk	Abkhaz
abk	Abkhazian
abl	Lampung Nyo
abm	Abanyom
abn	Abua
abo	Abon
abp	Abellen Ayta
abp	Ayta, Abellen
abq	Abaza
abr	Abron
abs	Ambonese Malay
abs	Malay, Ambonese
abt	Ambulas
abu	Abure
abv	Arabic, Baharna
abv	Arabic, Baharna Spoken
abv	Baharna Arabic
abw	Pal
abx	Inabaknon
aby	Aneme Wake
abz	Abui
aca	Achagua
acb	Áncá
acd	Gikyode
ace	Aceh
ace	Acehnese
ace	Achinese
acf	Creole French, Saint Lucian
acf	Saint Lucian Creole French
ach	Acholi
ach	Acoli
aci	Aka-Cari
ack	Aka-Kora
acl	Akar-Bale
acm	Arabic, Mesopotamian
acm	Arabic, Mesopotamian Spoken
acm	Mesopotamian Arabic
acn	Achang
acp	Acipa, Eastern
acp	Eastern Acipa
acq	Arabic, Ta'izzi-Adeni
acq	Arabic, Ta’izzi-Adeni Spoken
acq	Ta'izzi-Adeni Arabic
acr	Achi
acs	Acroá
act	Achterhoeks
acu	Achuar-Shiwiar
acv	Achumawi
acw	Arabic, Hijazi
acw	Arabic, Hijazi Spoken
acw	Hijazi Arabic
acx	Arabic, Omani
acx	Arabic, Omani Spoken
acx	Omani Arabic
acy	Arabic, Cypriot
acy	Arabic, Cypriot Spoken
acy	Cypriot Arabic
acz	Acheron
ada	Adangme
ada	Dangme
adb	Adabe
add	Dzodinka
ade	Adele
adf	Arabic, Dhofari
adf	Arabic, Dhofari Spoken
adf	Dhofari Arabic
adg	Andegerebinha
adh	Adhola
adi	Adi
adj	Adioukrou
adl	Adi, Galo
adl	Galo
adn	Adang
ado	Abu
adq	Adangbe
adr	Adonara
ads	Adamorobe Sign Language
adt	Adnyamathanha
adu	Aduge
adw	Amundava
adx	Amdo Tibetan
adx	Tibetan, Amdo
ady	Adygei
ady	Adyghe
adz	Adzera
aea	Areba
aeb	Arabic, Tunisian
aeb	Arabic, Tunisian Spoken
aeb	Tunisian Arabic
aec	Arabic, Saidi
aec	Arabic, Sa’idi Spoken
aec	Saidi Arabic
aed	Argentine Sign Language
aee	Northeast Pashai
aee	Northeast Pashayi
aee	Pashai, Northeast
aee	Pashayi, Northeast
aek	Haeke
ael	Ambele
aem	Arem
aen	Armenian Sign Language
aeq	Aer
aer	Arrernte
aer	Arrernte, Eastern
aer	Eastern Arrernte
aes	Alsea
aeu	Akeu
aew	Ambakich
aey	Amele
aez	Aeka
afb	Arabic, Gulf
afb	Arabic, Gulf Spoken
afb	Gulf Arabic
afd	Andai
afe	Putukwam
afe	Utugwang-Irungene-Afrike
afg	Afghan Sign Language
afh	Afrihili
afi	Akrukay
afi	Chini
afk	Nanubae
afn	Defaka
afo	Eloyi
afp	Tapei
afr	Afrikaans
afs	Afro-Seminole Creole
afs	Creole, Afro-Seminole
aft	Afitti
afu	Awutu
afz	Obokuitai
aga	Aguano
agb	Legbo
agc	Agatu
agd	Agarabi
age	Angal
agf	Arguni
agg	Angor
agh	Ngelima
agi	Agariya
agj	Argobba
agk	Agta, Isarog
agk	Isarog Agta
agl	Fembe
agm	Angaataha
agn	Agutaynen
ago	Tainae
agq	Aghem
agr	Aguaruna
ags	Esimbi
agt	Agta, Central Cagayan
agt	Central Cagayan Agta
agu	Aguacateco
agu	Awakateko
agv	Dumagat, Remontado
agv	Remontado Dumagat
agw	Kahua
agx	Aghul
agy	Alta, Southern
agy	Southern Alta
agz	Agta, Mt. Iriga
agz	Mt. Iriga Agta
aha	Ahanta
ahb	Axamb
ahg	Qimant
ahh	Aghu
ahi	Aizi, Tiagbamrin
ahi	Tiagbamrin Aizi
ahk	Akha
ahl	Igo
ahm	Aizi, Mobumrin
ahm	Mobumrin Aizi
ahn	Àhàn
aho	Ahom
ahp	Aizi, Aproumu
ahp	Aproumu Aizi
ahr	Ahirani
ahs	Ashe
aht	Ahtena
aia	Arosi
aib	Ainu (China)
aib	Äynu
aic	Ainbai
aid	Alngith
aie	Amara
aif	Agi
aig	Antigua and Barbuda Creole English
aig	Creole English, Antigua and Barbuda
aih	Ai-Cham
aii	Assyrian / Neo-Assyrian
aii	Assyrian Neo-Aramaic
aii	Neo-Aramaic, Assyrian
aij	Lishanid Noshan
aik	Ake
ail	Aimele
aim	Aimol
ain	Ainu
ain	Ainu (Japan)
aio	Aiton
aip	Burumakok
aiq	Aimaq
air	Airoran
ais	Amis, Nataoran
ais	Nataoran Amis
ait	Arikem
aiw	Aari
aix	Aighon
aiy	Ali
aja	Aja (Sudan)
ajg	Aja
ajg	Aja (Benin)
aji	Ajië
ajn	Andajin
ajp	Arabic, South Levantine
ajp	Arabic, South Levantine Spoken
ajp	South Levantine Arabic
ajt	Arabic, Judeo-Tunisian
ajt	Judeo-Tunisian Arabic
aju	Arabic, Judeo-Moroccan
aju	Judeo-Moroccan Arabic
ajw	Ajawa
ajz	Amri Karbi
ajz	Karbi, Amri
aka	Akan
akb	Batak Angkola
akc	Mpur
akd	Ukpet-Ehom
ake	Akawaio
akf	Akpa
akg	Anakalangu
akh	Angal Heneng
aki	Aiome
akj	Aka-Jeru
akk	Akkadian
akk	Akkadian Cuneiform
akk	Akkadian Cuneiform script
akl	Aklan
akl	Aklanon
akl	Inakeanon
akm	Aka-Bo
ako	Akurio
akp	Siwu
akq	Ak
akr	Araki
aks	Akaselem
akt	Akolet
aku	Akum
akv	Akhvakh
akw	Akwa
akx	Aka-Kede
aky	Aka-Kol
akz	Alabama
ala	Alago
alc	Qawasqar
ald	Alladian
ale	Aleut
alf	Alege
alh	Alawa
ali	Amaimon
alj	Alangan
alk	Alak
all	Allar
alm	Amblong
aln	Albanian, Gheg
