A-Hmao	hmd#A-hmaos	hmd
Eastern Abenaki	mgj#Abureni	aaq
Western Abenaki		abe
Acehnese	ace#Achinese	ace
Achuar-Shiwiar	acu#Achuar-Shiwiar	acu
Afaan Oromo	hae#Eastern Oromo	orm
Akkadian Cuneiform script	xlu#Luwian, Cuneiform	akk
Aklan	aka#Akan	akl
Altay	atm#Ata	alt
Alutiiq		ems
Anutan	aud#Anuta	aud
Apache	xap#Apalachee	apa
Arabic (Algerian)	arq#Arabic, Algerian	arq
Arabic (Egyptian)	arz#Arabic, Egyptian	arz
Arabic (Lebanese)	apd#Arabic, Sudanese	ara
Arabic (Modern Standard)	arb#Arabic, Standard	arb
Arabic (Moroccan)	ary#Arabic, Moroccan	ary
Arabic (Syrian)	aeb#Arabic, Tunisian	ara
Aramaic	xrm#Armazic	arc
Aranese	arg#Aragonese	mis
Arbëresh	arv#Arbore	aae
Archaic Irish	None	sga
Arrernte	xer#Xerénte	aer
Arvanitic	ava#Avaric	aat
Assyrian / Neo-Assyrian	aii#Assyrian Neo-Aramaic	aii
Azeri	aac#Ari	aze
Babine-Witsuwit'en	None	bcr
Balkar	bkc#Baka	krc
Bukhori	bhh#Bukharic	bhh
Bundjalung	bdy#Bandjalang	bdy
Buryat	bua#Buriat	bua
Cantonese (honji)	None	mis
Cape Verdean Creole	hat#Haitian Creole	kea
Central Sinama	sml#Central Sama	sml
Cha'palaachi	cbi#Chachi	cbi
Chaha	cra#Chara	mis
Chaldean Neo-Aramaic	cld#Chaldean Neo-Aramaic	cld
Chibemba	dhm#Dhimba	bem
Chilambya	nim#Nilamba	lai
Chilomwe	cjk#Chokwe	nlg
Chimambwe	xch#Chimakum	mgr
Chinanteco	cle#Chinantec, Lealao	cco
Chindali	cih#Chinali	ndh
Chinese (hanzi)	gan#Chinese, Gan	zho
Chingoni	asg#Cishingini	ngo
Chinyiha	afi#Chini	nih
Chinyika	afi#Chini	nkt
Chisena	nsz#Nisenan	seh
Chisenga	cgg#Chiga	nse
Chisukwa	cuw#Chukwa	lai
Chitonga	toh#Gitonga	toi
Chitumbuka	tum#Tumbuka	tum
Chiyao	cap#Chipaya	yao
Cia-Cia	cia#Cia-Cia	cia
Dagaare	dgz#Daga	dga
Dawan	mcz#Mawan	aoz
Dioula	dyu#Dyula	dyu
Dusun	dui#Dumun	dtp
Dzongkha (Bhutanese)	None	dzo
Elamite Cuneiform	xlu#Luwian, Cuneiform	elx
Elfdalian	ron#Moldavian	mis
Enets	enx#Enxet	enf
Folkspraak	frq#Forak	mis
Fox	fon#Fon	sac
